,Grid_X,Grid_Y,Density
5874,59.0,75.0,0.0
5875,59.0,76.0,0.0
5876,59.0,77.0,0.0
5877,59.0,78.0,0.0
5878,59.0,79.0,0.0
5879,59.0,80.0,0.0
5880,59.0,81.0,0.0
5881,59.0,82.0,0.0
5882,59.0,83.0,0.0
5883,59.0,84.0,0.0
5884,59.0,85.0,0.0
5885,59.0,86.0,0.0
5886,59.0,87.0,0.0
5887,59.0,88.0,0.0
5888,59.0,89.0,0.0
5889,59.0,90.0,0.0
5890,59.0,91.0,0.0
5891,59.0,92.0,0.0
5892,59.0,93.0,0.0
5893,59.0,94.0,0.0
5894,59.0,95.0,0.0
5895,59.0,96.0,0.0
5896,59.0,97.0,0.0
5897,59.0,98.0,0.0
5898,59.0,99.0,0.0
5899,59.0,100.0,0.0
5900,60.0,1.0,0.0
5901,60.0,2.0,0.0
5902,60.0,3.0,0.0
5903,60.0,4.0,0.0
5904,60.0,5.0,0.0
5905,60.0,6.0,0.0
5906,60.0,7.0,0.0
5907,60.0,8.0,0.0
5908,60.0,9.0,0.0
5909,60.0,10.0,0.0
5910,60.0,11.0,0.0
5911,60.0,12.0,0.0
5912,60.0,13.0,0.0
5913,60.0,14.0,0.0
5914,60.0,15.0,0.0
5915,60.0,16.0,0.0
5916,60.0,17.0,0.0
5917,60.0,18.0,0.0
5918,60.0,19.0,0.0
5919,60.0,20.0,0.0
5920,60.0,21.0,0.0
5921,60.0,22.0,0.0
5922,60.0,23.0,0.0
5923,60.0,24.0,0.0
5924,60.0,25.0,0.0
5925,60.0,26.0,0.0
5926,60.0,27.0,0.0
5927,60.0,28.0,0.0
5928,60.0,29.0,0.0
5929,60.0,30.0,0.0
5930,60.0,31.0,0.0
5931,60.0,32.0,0.0
5932,60.0,33.0,0.0
5933,60.0,34.0,0.0
5934,60.0,35.0,0.0
5935,60.0,36.0,0.0
5936,60.0,37.0,0.0
5937,60.0,38.0,0.0027713799273871393
5938,60.0,39.0,0.00011322221321562546
5939,60.0,40.0,0.03195797958070325
5940,60.0,41.0,0.1267948107449579
5941,60.0,42.0,0.0002598940406289602
5942,60.0,43.0,
5943,60.0,44.0,0.0
5944,60.0,45.0,0.0
5945,60.0,46.0,0.0
5946,60.0,47.0,0.0
5947,60.0,48.0,0.0
5948,60.0,49.0,0.0
5949,60.0,50.0,0.0
5950,60.0,51.0,0.0
5951,60.0,52.0,0.0
5952,60.0,53.0,0.0
5953,60.0,54.0,0.0
5954,60.0,55.0,0.0
5955,60.0,56.0,0.0
5956,60.0,57.0,0.0
5957,60.0,58.0,0.0
5958,60.0,59.0,0.0
5959,60.0,60.0,0.0
5960,60.0,61.0,0.0
5961,60.0,62.0,0.0
5962,60.0,63.0,0.0
5963,60.0,64.0,0.0
5964,60.0,65.0,0.0
5965,60.0,66.0,0.0
5966,60.0,67.0,0.0
5967,60.0,68.0,0.0
5968,60.0,69.0,0.0
5969,60.0,70.0,0.0
5970,60.0,71.0,0.0
5971,60.0,72.0,0.0
5972,60.0,73.0,0.0
5973,60.0,74.0,0.0
5974,60.0,75.0,0.0
5975,60.0,76.0,0.0
5976,60.0,77.0,0.0
5977,60.0,78.0,0.0
5978,60.0,79.0,0.0
5979,60.0,80.0,0.0
5980,60.0,81.0,0.0
5981,60.0,82.0,0.0
5982,60.0,83.0,0.0
5983,60.0,84.0,0.0
5984,60.0,85.0,0.0
5985,60.0,86.0,0.0
5986,60.0,87.0,0.0
5987,60.0,88.0,0.0
5988,60.0,89.0,0.0
5989,60.0,90.0,0.0
5990,60.0,91.0,0.0
5991,60.0,92.0,0.0
5992,60.0,93.0,0.0
5993,60.0,94.0,0.0
5994,60.0,95.0,0.0
5995,60.0,96.0,0.0
5996,60.0,97.0,0.0
5997,60.0,98.0,0.0
5998,60.0,99.0,0.0
5999,60.0,100.0,0.0
6000,61.0,1.0,0.0
6001,61.0,2.0,0.0
6002,61.0,3.0,0.0
6003,61.0,4.0,0.0
6004,61.0,5.0,0.0
6005,61.0,6.0,0.0
6006,61.0,7.0,0.0
6007,61.0,8.0,0.0
6008,61.0,9.0,0.0
6009,61.0,10.0,0.0
6010,61.0,11.0,0.0
6011,61.0,12.0,0.0
6012,61.0,13.0,0.0
6013,61.0,14.0,0.0
6014,61.0,15.0,0.0
6015,61.0,16.0,0.0
6016,61.0,17.0,0.0
6017,61.0,18.0,0.0
6018,61.0,19.0,0.0
6019,61.0,20.0,0.0
6020,61.0,21.0,0.0
6021,61.0,22.0,0.0
6022,61.0,23.0,0.0
6023,61.0,24.0,0.0
6024,61.0,25.0,0.0
6025,61.0,26.0,0.0
6026,61.0,27.0,0.0
6027,61.0,28.0,0.0
6028,61.0,29.0,0.0
6029,61.0,30.0,0.0
6030,61.0,31.0,0.0
6031,61.0,32.0,0.0
6032,61.0,33.0,0.0
6033,61.0,34.0,0.0
6034,61.0,35.0,0.0
6035,61.0,36.0,0.0
6036,61.0,37.0,0.0
6037,61.0,38.0,0.0
6038,61.0,39.0,0.0
6039,61.0,40.0,0.0
6040,61.0,41.0,
6041,61.0,42.0,0.10955836987604108
6042,61.0,43.0,0.0
6043,61.0,44.0,0.0
6044,61.0,45.0,0.0
6045,61.0,46.0,0.0
6046,61.0,47.0,0.0
6047,61.0,48.0,0.0
6048,61.0,49.0,0.0
6049,61.0,50.0,0.0
6050,61.0,51.0,0.0
6051,61.0,52.0,0.0
6052,61.0,53.0,0.0
6053,61.0,54.0,0.0
6054,61.0,55.0,0.0
6055,61.0,56.0,0.0
6056,61.0,57.0,0.0
6057,61.0,58.0,0.0
6058,61.0,59.0,0.0
6059,61.0,60.0,0.0
6060,61.0,61.0,0.0
6061,61.0,62.0,0.0
6062,61.0,63.0,0.0
6063,61.0,64.0,0.0
6064,61.0,65.0,0.0
6065,61.0,66.0,0.0
6066,61.0,67.0,0.0
6067,61.0,68.0,0.0
6068,61.0,69.0,0.0
6069,61.0,70.0,0.0
6070,61.0,71.0,0.0
6071,61.0,72.0,0.0
6072,61.0,73.0,0.0
6073,61.0,74.0,0.0
6074,61.0,75.0,0.0
6075,61.0,76.0,0.0
6076,61.0,77.0,0.0
6077,61.0,78.0,0.0
6078,61.0,79.0,0.0
6079,61.0,80.0,0.0
6080,61.0,81.0,0.0
6081,61.0,82.0,0.0
6082,61.0,83.0,0.0
6083,61.0,84.0,0.0
6084,61.0,85.0,0.0
6085,61.0,86.0,0.0
6086,61.0,87.0,0.0
6087,61.0,88.0,0.0
6088,61.0,89.0,0.0
6089,61.0,90.0,0.0
6090,61.0,91.0,0.0
6091,61.0,92.0,0.0
6092,61.0,93.0,0.0
6093,61.0,94.0,0.0
6094,61.0,95.0,0.0
6095,61.0,96.0,0.0
6096,61.0,97.0,0.0
6097,61.0,98.0,0.0
6098,61.0,99.0,0.0
6099,61.0,100.0,0.0
6100,62.0,1.0,0.0
6101,62.0,2.0,0.0
6102,62.0,3.0,0.0
6103,62.0,4.0,0.0
6104,62.0,5.0,0.0
6105,62.0,6.0,0.0
6106,62.0,7.0,0.0
6107,62.0,8.0,0.0
6108,62.0,9.0,0.0
6109,62.0,10.0,0.0
6110,62.0,11.0,0.0
6111,62.0,12.0,0.0
6112,62.0,13.0,0.0
6113,62.0,14.0,0.0
6114,62.0,15.0,0.0
6115,62.0,16.0,0.0
6116,62.0,17.0,0.0
6117,62.0,18.0,0.0
6118,62.0,19.0,0.0
6119,62.0,20.0,0.0
6120,62.0,21.0,0.0
6121,62.0,22.0,0.0
6122,62.0,23.0,0.0
6123,62.0,24.0,0.0
6124,62.0,25.0,0.0
6125,62.0,26.0,0.0
6126,62.0,27.0,0.0
6127,62.0,28.0,0.0
6128,62.0,29.0,0.0
6129,62.0,30.0,0.0
6130,62.0,31.0,0.0
6131,62.0,32.0,0.0
6132,62.0,33.0,0.0
6133,62.0,34.0,
6134,62.0,35.0,0.0
6135,62.0,36.0,
6136,62.0,37.0,0.0
6137,62.0,38.0,0.0
6138,62.0,39.0,0.0
6139,62.0,40.0,0.0
6140,62.0,41.0,0.0
6141,62.0,42.0,0.0
6142,62.0,43.0,0.0
6143,62.0,44.0,0.0
6144,62.0,45.0,0.0
6145,62.0,46.0,0.0
6146,62.0,47.0,0.0
6147,62.0,48.0,0.0
6148,62.0,49.0,0.0
6149,62.0,50.0,0.0
6150,62.0,51.0,0.0
6151,62.0,52.0,0.0
6152,62.0,53.0,0.0
6153,62.0,54.0,0.0
6154,62.0,55.0,0.0
6155,62.0,56.0,0.0
6156,62.0,57.0,0.0
6157,62.0,58.0,0.0
6158,62.0,59.0,0.0
6159,62.0,60.0,0.0
6160,62.0,61.0,0.0
6161,62.0,62.0,0.0
6162,62.0,63.0,0.0
6163,62.0,64.0,0.0
6164,62.0,65.0,0.0
6165,62.0,66.0,0.0
6166,62.0,67.0,0.0
6167,62.0,68.0,0.0
6168,62.0,69.0,0.0
6169,62.0,70.0,0.0
6170,62.0,71.0,0.0
6171,62.0,72.0,0.0
6172,62.0,73.0,0.0
6173,62.0,74.0,0.0
6174,62.0,75.0,0.020016452365340505
6175,62.0,76.0,0.0
6176,62.0,77.0,0.02007025051527557
6177,62.0,78.0,0.0
6178,62.0,79.0,0.0
6179,62.0,80.0,0.04034746047181736
6180,62.0,81.0,0.055545237525703076
6181,62.0,82.0,0.0
6182,62.0,83.0,0.0
6183,62.0,84.0,0.0
6184,62.0,85.0,0.0
6185,62.0,86.0,0.0
6186,62.0,87.0,0.0
6187,62.0,88.0,0.0
6188,62.0,89.0,0.0
6189,62.0,90.0,0.0
6190,62.0,91.0,0.0
6191,62.0,92.0,0.0
6192,62.0,93.0,0.0
6193,62.0,94.0,0.0
6194,62.0,95.0,0.0
6195,62.0,96.0,0.0
6196,62.0,97.0,0.0
6197,62.0,98.0,0.0
6198,62.0,99.0,0.0
6199,62.0,100.0,0.0
6200,63.0,1.0,0.0
